	review	emotion
28	Yes!! Finally Friday...which tech means nothing to me since Im currently unemployed	worry
29	outta the shower, too bad justin couldn't spend the night.  haha	sadness
30	@zoeatthedisco lol hell yes i'm keen. WE'RE GOING SKIING AT TREBLE CONE SOMETIME THIS WINTER	love
31	FYI no internets until THURSTAG!!!! after saturday  i have a feeling i will become 800x more productive during those days.	neutral
32	i'm on relapse  mom and dad i need you. jesus fucking christ you stay away.	sadness
33	sAyS: wAtChInG mAtIlDa	neutral
34	@ChariceManiacs  me too! i don't know why every time i listen to it i start to cry!	sadness
35	aww thats wikid, i need to book myne again sooon  miss you to lovely!! im off ned some brekkie.. speak soon dudde xxx	sadness
36	@MaryKathrynK Yikes!  I hope she was okay.  I never her heard her say her tummy hurt.	worry
37	@HellenBach the geek, the stepson and the live in nanny love BGT, me - can't stand it!  Had to watch TV upstairs all alone!	sadness
38	@ceciliabedelia i know so lame	neutral
39	I can't believe Clinton and Bush were both here, doing a seminar together and I did not go	neutral
40	Now I have no Sky until Monday	neutral
41	@jonhatesyou aw my dear i'm sorry	worry
42	is not having a good day... I havent had a good week forreal!!	sadness
43	i deffinately need to clean my bookbag. but no time! i need to leave in the next 5 seconds to not be late to school. ...oh well	worry
44	had SUCH and AMAZING time last night, McFly were INCREDIBLE	happiness
45	I am finally on a roll... now time to stop.   Is it weird when you love what you do?	neutral
46	Wow.....I've been stood up  Might as well go to work.	worry
47	DAMN IT!! _____________	neutral
48	@ilan_peer you ll soon be back  just replace topify email in twitter settings and that s all	neutral
49	@sammihouse  awww lol yh it is worth it-  mcfly are worth it 2  eekk	happiness
50	@Katizzle hehe yeah! but too late hun	worry
51	watching Jon &amp; Kate plus 8..can't believe they're divorcing	worry
52	@SheIsAnarchy	neutral
53	@JonasBrothers MY FAV. SONG IS UH...honestly, its rude for u to make us choose.  lol I love 'em all!	love
54	Ive got mad cramps in my legs	worry
55	@handlewithcare Awww mate. that's such a shitter	worry
56	@absolutsilver I hear you sister!!    Same here.	neutral
57	@geekasia I am lost. Please help me find a good home.	worry
58	@christay0102 that sounds awesome..	neutral
59	Grilled chicken, broccolli, and water.  Yummy and healthy. Well until I put butter on my veggies but whatever	happiness
60	@m_bui yeah right. I just accepted my grants, and it covered at least 10,000+ of my school fees. tritonlink is down so i cant verify	neutral
61	@RealMikeKnight @TeresaKopec - Guess POTUS will be able to do more digging &amp; folo up on the SS nomination. He's in a good pos 2 do that,	neutral
62	My bum hurts.	neutral
63	@tncc24 - so sweet  why aren't you out livin' it up this saturday night?	happiness
64	Gudluck to @Sickamore @richhil !!	neutral
65	@JohnLloydTaylor I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .	love
66	@Kate_Butler I think/hope they might put an age limit on next year on the back of that  #bgt	worry
67	@yeshenia	neutral
68	playing singstar without my fave duetter	worry
69	@taylorswift13 guess what i listened to love story 425 times on my ipod. You evil woman youve taken over my life ! Lol	love
70	New @shackletonmusic single bought! It is awesome!! Well done boys!	happiness
71	@colinmoge  the one day I need to work	worry
72	@Squallee Yeah same	neutral
73	omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go	happiness
74	@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:	neutral
75	@debbylovespr I know. We came back from 22 down in the 1st just to lose the lead in the last 6 minutes.	worry
76	http://www.facebook.com/pages/HelloTxt/73275306275 this message is posted on HelloTxt Facebook Fan page through HelloTxt, check it out	neutral
77	@Usticks555 ... lol that was a great hug. @BCishere they should be back sometime in may	worry
78	Getting a little mowing the grass in this evening!  fun	neutral
79	...return my joy cos I'm so  Tired, tired of me Inspire the weary eyed to see the Ire and Irony...	sadness
80	@gabyrosario Thanks for the shoutout	happiness
81	i feel like shit	sadness
82	@maliamorgan Thanks for following!	happiness
83	@pete_brown Damnit, I accidentally put @scottgu instead of @realscottgu in my #FollowFriday	worry
84	@dougiemcfly saw you walking back from starbucks. I was in the orange beetle	neutral
85	Our God is an awesome God, He is a God of 2nd,30th,100th chances..I give Him ALL the glory for my 2nd chance at 'love'.. Am still stunned	love
86	$4 lonestar pitchers at @mugshotsaustin ?  If only I wasn't still recovering from last weekend's bout of irresponsible gluten consumption	worry
87	ok, 1st ginormous cup of coffee down, monday looking much better to me.	worry
88	So slpy 2day  zzzz	neutral
89	@sandraschubert This is true... Clean clothes is a VERY good thing!   Enjoy your day! Love your new avatar BTW!	love
90	I really should be doing something more productive, why am I not there yet?	worry
91	yesterday was fun.. 1st concert of the year [i know, i'm late xD].. buena vista social club live FOR FREE..	happiness
92	Every time I pay off my library fine, I get a new one.  I'm a bad patron	worry
93	wishes @ashleytisdale would admit she has a new lovah	love
94	@qtjene Thanks	neutral
95	Ps BGT was both fab and sad, I thought Greg was awesome, sad he's gone but a child will always win in that situation sadly	sadness
96	@JawshE It starts again June 14	neutral
97	@TWLOHA http://twitpic.com/4uyn9 - I NEED THIS. RIGHT NOW. THIS IS ABSOLUTELY MINDDDD BLOWING  I love this. So much!	love
98	Don't follow your dreams; chase them.- Richard Dumb (who I think is very smart	happiness
99	@vic2slic doing pretty well, up and wide awake	neutral
100	Good day today tomorrow will be even better	happiness
101	@FotoWala wow! I've joined the photography scene pretty recently so this (large format) makes it even more interesting	neutral
102	awake from the nap	neutral
103	@Impala_Guy In the past it was ok but since iï¿½ve got my own appartment, my own car........itï¿½s very difficult to save the money	sadness
104	@johnfoliot I think we all need a oil change wash and wax every now and again	neutral
105	still no pool key. wth. it's even hot out today.	sadness
106	ugh gone through 2 new phones and now my screen is black, which means no texting	sadness
107	Gettin ready to hit up the mall w/my mom &amp; Jayden!  DO ALL THINGS W/FAITH!!!!	happiness
108	my last tweet didn't send  bad phone	neutral
109	@TiffanyMMiller Yes i work 6 to 3...	neutral
110	@silenceiseasy no no no lol I cut my bangs like Kate Hudson in bride wars a few months ago and it was super cute. Looks diff this time	sadness
111	too many good shows coming up and no money to buy tickets. fmfl. brand new at the troub?	sadness
112	Tweeten Out  Tix deals for NKOTB 5/28 Was $43 NOW *$38 http://tinyurl.com/NKOTBTweetenTixsDeal &lt;-or other SEAT Prices /NKOTB Dates	neutral
113	@gthogan I think you forgot a couple exclamation points.	worry
114	@tommymercedes wish i was but im in chicago	worry
115	@StampfliTurci Ah that would explain the italian colouring	neutral
116	Off work	neutral
117	@heartstarbolt I could get away with it. dare me? I'll go buy it tomorrow	neutral
118	Just finished mowing the lawn.	sadness
119	Well, for java atleast  Im still working on my php solution	neutral
120	Coffee in hand and sun shining in my window.  Hope everyone's having a great Monday morning so far! #monday - MR	worry
121	I will miss the soccer moms	worry
122	this cheese is fuckin up my stomach	worry
123	@Joshwaleigh    i did on my walk home. it looks amazing	happiness
124	6moredays.6moredays. yay.yay. taken is nearly finished  better be good	happiness
125	@TheAsterik BETTER BE. ALSO, YES. UNF UNF &lt;3 ...Lisa still hasn't gotten any, btw  *smacked*	happiness
126	@scottharrison Thanks for the DM! I am on the ATL Twestival committee &amp; really hope you have a public speaking event soon!! Enjoy ATL	sadness
127	@FernShadow I'd just plain go crazy	neutral
128	@JoJolike i tried phoning you	worry
129	So I slept 12 hrs! My body is aching	sadness
130	Happy #starwarsday	happiness
131	love new shoes  thanks wine lo	love
132	@caitiehendry this: http://www.sife.org/usaexpo/	neutral
133	@Captain_Janeway OOC: Goodnight	neutral
134	@feliciaday I did laundry tonight too.  Guess I can admit that now that you paved the way.	neutral
135	starting off my day with a little Northern Light	happiness
136	@jennafurbee that is definitely an easier way of saying it, yes	neutral
137	just got thru watchin @stephenfry on bones now topping off with House reruns	neutral
138	yeah! I'm going to Makati Cinema Square with my dad later. haha!	happiness
139	is exhausted.	sadness
140	10-Year-Old Girl Battles Rare Breast Cancer  http://bit.ly/JPe9c	neutral
141	@BigzFlygerian sorry but I'm not impressed in the slightest b/c u don't eat pussy..more like saddened and confused	sadness
142	I love Metal Gear Solid 4 and Valkyria Chronicles.	love
143	had a funny time at neball against PLC  score: 48-3. what a game.	love
144	@SPACASSO Hey, Maria! I'm so sorry!  I think I accidentally disconnected you.     Thank you SO much for trying. Headed to your site soon.	worry
145	@SashaBoucher omg! i know, and it ruins my weekend!  suree, if you want too.	sadness
146	has a broken iphone	worry
147	@rmetalbroad belay the swimsuit, hot tub won't be ready this weekend.  sadness	sadness
148	a female robin just flew into my window and I watched her die in my bushes...  i think i am going to cry now...	sadness
149	@EricIsiah *takes out a $20.00 bill* you can keep the change	neutral
150	@RDeRozario woops! I only just realized my DMs to you are not going through	worry
151	just got outta work.  ....... Frankie's house.	neutral
152	@LaurenConrad mmmm lauren conrad eeeeep im going to miss the hills	worry
153	getting ready so i can go out	neutral
154	@ReikoEoh I bet this would've been fixed if I could've called up @Twitter on the phone and explain this whole situation. Jeez.	neutral
155	@brianiwama amen to that brotha!	happiness
156	@dorothearose you are the sweetest.  love you cuz!	love
157	@baba_booey it doesn't make up for the pitch	worry
158	My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.	happiness
159	Top 20 ways to go green! http://tinyurl.com/otjttu - this is pretty helpful, and kinda cool actually	neutral
160	@patzilla83 I can't have any.	worry
161	@C_DIG up late again I see?  You missed a great time at Donny's birthday... remember to call him on Monday!	worry
162	@ThePBG look, no matter the ethnicity, women are something else!  fellas, can I get an amen? *dueces*	neutral
163	Naps are so lovely	love
164	@cascandar We are working	neutral
165	ehh i need a break. gonna do 3pg essay 2m before work at 5. going to bed now. gym in the morning! nightttt	happiness
166	So, I finally got my but on Twitter. Let's hope I make good use of this site	happiness
167	@outlawontheedge Tofurky.... You owe me a new keyboard now!	love
168	Is getting ready for work... Working all weekend	neutral
169	@jonraff I jus spoke 2 my lawyer, if I blow trial =3to7	neutral
170	Why am I so tired?????? Whyyyyy make it stop. Merm is not going to be fun tonight.	worry
171	Yay my friend Glen is here. Now i'm like this	happiness
172	I joined twitter to stalk my fav celebs... is that weird?	neutral
173	My puppies killed my cat lastnight,they thought she was a stuffed animal.  RIP Meanie  http://yfrog.com/104m6wj	worry
174	I just really want to sleep butmy eyes won't let me	worry
175	Zen-related stuff: &quot;Go with the flow.&quot; Very easy to accomplish - it started to rain, so the rain will flush me away	neutral
176	I'm getting me &amp; my family ready for Kaylee's graduation! It's gonna make me so sad.	worry
177	charbotgreen has been suspended  &quot;unusual activity??&quot;	neutral
178	@SaraJayXXX OMG .. my memory must have failed me! Very weird since I do not normally forget because of my profession!	worry
179	wants to hear his voice	sadness
180	@TheCR i think both ?s related to size depend on structures and system: hard to relay in tweet but worth blogging..good questions this am	neutral
181	@farewellcup thank you for the re-tweet	love
182	@RobbieBarnes hmmm they are on offer in Tesco as well but I don't think the wee one next to me will stock them!	neutral
183	@mojustice I've heard this fall. I'm waiting too!	neutral
184	@CharlieCurve Wait - cool AND a sliding door? That's an oxymoron.	happiness
185	Yay, I should be able to make it to 700 updates tonight  lame compared to other ppls i know lol	happiness
186	@JYmuzik Wish I was in ATL!!	love
187	@cbear80 indeedy! weather crappy then, god now. pity its dark! :O hopefully it stays dry!	worry
188	wishes it wasn't a bank holiday so he could be on the radio this afternoon... but at least he has another week to come up with some ideas	sadness
189	Up and washed  I'm clothing myself as I type xD WOOOO	happiness
190	Headache	worry
191	HAD SO MUCH FUN TODAY !  i love alyssa arellano and mika reyes ! :*	love
192	@zhenerak I thought I was your best friend?	worry
193	@heynadine - not early at all, just say you are running on eastern time  hope you had fun at your auditions! canada ftw!	love
194	Wondering if twitter will be fixed for my phone any time soon...	worry
195	@MathewDavid iknowww! Not many people know about it tho. So I like to keep it my little secret	happiness
196	Back @ home AGAIN .. bathing kids, ironing clothes for hubby .. nephew's graduation tonight! I remember when he was 2!	happiness
197	@thomasfiss i think you should come tomarrow....because i was really really really looking foreword to seeing you.......please come?	love
198	@krystynchong Your still thinking?  Cheer up Buddy )	worry
199	Very succesful Cancertown Launch yesterday	love
200	@onlyme614 girl yes, as if having it where you CANT see it wont gross enough	sadness
201	@JudyObscure  Oh what's up?	neutral
202	about to go to my boo's pad	sadness
203	people are not twitting very much today	worry
204	Happy Mother's Day to all mothers!	happiness
205	My big mistake for today is falling asleep while i got lots of things to do	worry
206	a headache once again ugh	neutral
207	LOVED &quot;Drag Me To Hell&quot; and &quot;Up&quot;...yeah my Spend the Day Studying plan didn't happen	worry
208	@inkophile I have weekends like that too - almost always at the end of &quot;one of those weeks&quot;!	neutral
209	Big Sad Face   Bing doesn't work on iPhone.  It just takes you to the regular mobile Live search.	sadness
210	@jbgreece yeh  A little.. How are you ?	neutral
211	@AClockworkToad yw, it gets really hot there in the middle of the summer like 110+ but right now its perfect! and less then an hour away.	happiness
212	Kinda pissed really wanted to go see Drag me to Hell with Christina and Garrit, but I have to work till 2am  I'm go... http://znl.me/OSWGH	sadness
213	im hangin out with my cousin holly and tlkin 2 my grandparents.......  my phone went dead	worry
214	Omg soo tired! On my way home! Long busy day ; had fun meeting new people and catching up with some people!	worry
215	&quot;Its a calander.&quot;Calendar!&quot; COLLANDER!&quot; Bahaha, That part was hilarious, of course, the whole thing was hilarious	worry
216	@allconsoffun anymore	neutral
217	@gotcoff33 haha I wish! I have 1 filling that broke and 1 cavitie that needs to get fixed!!!	neutral
218	Just started on here and i already see @smalleyez and @infinityh are by far the biggest talkers, er, i mean tweeters!	neutral
219	@tommcfly thanx Tom  love u too !!!!!!!!!!!!!!!!!!!!!!! have a great day	love
220	haven't twittered in forever. yeah, just had my sixteenth birthday party tonight	love
221	@imlostinbooks It's up now, @Vasilly and @Devourerofbooks won.  Sorry	worry
222	@jflutie u never sent me carrie. ur an asshole. but an asshole that i miss	sadness
223	is feeling sad  I so dont do goodbye'z!!!!	sadness
224	Cant find my red lighter that reminds me of Amy	sadness
225	@susiegroove yes i did - as a thank you. have contacted them 2ce but no response	sadness
226	Yay! Made my first sale on RedBubble - that makes me so happy   http://bit.ly/1gURq	happiness
227	@Ilovefal b/c &quot;we&quot; ONLY have Baby Phat, Phat Farm, Applebottoms &amp; FUBU!! And they come up pretty WEAK!! Double	sadness
228	Ok, i've eaten some food and now bored to death in my room. Seriously, there is nothing to do. Guitar been taken to the venue!	neutral
229	Bitter sweet moment... Want to leave but have nothing to go home to...	sadness
230	Wow...VirtualPC screen does not go black anymore in Win7 RC! Also, there's no NVidia driver crashing...I'm happy I did the upgrade	happiness
231	is watching &quot;Wall Street&quot;, and realizing that since it is on a movie channel she won't get a potty break	worry
232	Happy National Star Wars day everyone!!	happiness
233	Twitter! It's been a while	neutral
234	I'm bummed that I didn't get TEDx tickets	worry
235	i cant find my itouch for the 64577 billionth time n i need it to sleep	worry
236	Wrapping packes for mom day   Happy Mom Day to all you hot mommas out there	love
237	is terrible at saving money..	worry
238	morning twit-friends! welcome to my new followers	happiness
239	@evansdave thanks man!  I appreciate it!  You rock sir.	love
240	@candyconquest Yes you are, thanks  Haha you do? Field of flowers don't exist in Singapore, well not ones that you can frolick in:S	happiness
241	is actual gonna need a new job and not just want	neutral
242	@sli hope u did alright on the final	neutral
243	@harterm04  Tell Brad I said hi!    Drink and sing for me and Morgan.	neutral
244	@erikvanbrakel company policy. Has been for the last two places I've worked at	neutral
245	Doctor Who has finished	neutral
246	@ThisIsRobThomas Did you know its Star Wars Day today... May the 4th be with you!	worry
247	at the direct selection tool who is being stubborn and not working for me today.	worry
248	its so hard to get mum to answer the phone!! happy mothers day to her anyways..	worry
249	@dsml dont depress me  I have the mother-in-law staying the weekend. Someone else to wait on other than the kids!	sadness
250	Good morning everyone	happiness
251	one more final	neutral
252	@mileycyrus http://twitpic.com/5kahh - omg i read Night in english class! so sad	worry
253	When it rains it pours. Life sucks	worry
254	Cleaning my room and listening to britney.	neutral
255	Check out my song &quot;time to lose it&quot; on www.myspace.com/flownyce you'll enjoy it I promise	worry
256	Loving my boys	love
257	coffee. gym. studio.  story. of. my. life. these. days.     so grateful.	happiness
258	@UncleRUSH Good morning to you. Hope you have a nice productive day	happiness
259	lasttt mondayyy of classs	neutral
260	I had a GREAT day with you guys today! We went to the Clay House for Emily's birthday &amp; had lots of fun. We will have 2 go there again.	worry
261	Man! I need to make-up that $35 loss.. this is why I'm going to hustle this weekend AKA not going to have a nice, relaxing weekend.	worry
262	@zendoc pretty soon gonna have to unfollow myself from @tweet_words to cut the quickly growing &quot;habit&quot; ... but I do love the challenge!	love
263	Aww man. @Wired arrived. How-To Guide-less	worry
264	@ms_ta_ta haha It's BAD! Anyway goodnight, gorgeous  Sleep super well n shizz	worry
265	Good Morning!!! Work and then it's ESPN's Sunday night Baseball. hopefully it won't get rained out	worry
266	fed up of pain now	sadness
267	to my pretty lady @nikkiwoods HAPPY MOTHER'S DAY!!! She's the mother of my future son-in-laws	love
268	They've changed the soap in the men's loo and it doesn't smell of marzipan anymore. I miss the marzipan soap	worry
269	I am thoroughly enjoying my new ringtone	love
270	@ChimeraX *Hand up* Me, I'm going  #localgovcamp	neutral
271	@BrodyJenner i live in manchester england but still have never been to london	sadness
272	@darrenporter Hehe you're right, I'm not daft  May is a good month to be on a French contract!	neutral
273	@tarabellejeanne awhhh It was so nice to see you.	happiness
274	just doesn't understand why this thing wont save my photos  Defo uggo! lol	worry
275	@philwalters fickleness seems appropriate for a Twitter user	neutral
276	@ work do not feel like bein in dis bitch today	neutral
277	@ThisIsRobThomas good morning rob!	neutral
278	Bought a new combo printer at costco today (officejet j4550) cause it was cheaper than ink 4 old one. #windows7 doesn't like the fax part	happiness
279	@Rhonddalad yeah hun it was a good night  my ankile is even more fucked now tho	worry
280	2 hours after teleconference. but can't go back to sleep. got some work to do. sigh sigh	worry
281	@nkirchmar I have 30 minutes to go! Then a 3 day weekend leading up to my birthday on Tuesday. I have to work on my birthday.	sadness
282	@Snuva Mmmmmm I love curry. Don't have an Oregan though.	love
283	happy mothers day	love
284	Aw man, Half Term isn't long enough    lol!	worry
285	Miley Cyrus = great actress	love
286	@kellywilliams4 On what..	neutral
287	Off tha internet now Txt it	neutral
288	@Katie_Noonan I think ill do that! I well wanna go out, go no one to go out with  Loveyou xx	happiness
289	Wow, it's so early. Just had the best conversation.	happiness
290	@bdeezy @PleasureNPain lol you guys are awesome	love
291	@JAYSFIT I SOOOOOOOOOOOOOOOOO NEED TO SEE U  IM ON SOME BS 4REAL DEADASS LMAO	love
292	i miss you tooooo  you arent too far! *A*	worry
293	about to go to work at 3	neutral
294	Rainy day today.  No car so we're stuck in the house   I needed to go to the post office too...bastards	sadness
295	@faizis i wish for kiau to go cat heaven too. and meet my seuss	sadness
296	i will be without an assistant for the next week	worry
297	Yum! Whole box of cookies for me	happiness
298	Happy Mother's Day to all the Mothers! Especially mine!  Enjoy ya day mothers!	love
299	enjoyed a good time out tonight.  Stupid movie, but good times losing at the pool table!	worry
300	@vivianakacreoen Oh ok  thnks tho for adding me	neutral
301	Slept 7pm-almost 10pm, didn't fall asleep again until 3am, got back up at 5am. Aw, school.	worry
302	I have the worst stuffy nose EVER. Lauren's spending the night, and I took too much Sudafed!	worry
303	Talking to my best mate and my boyfriend on msn	happiness
304	RIP Big cup... I will miss you	sadness
305	Just at Starbucks with Farrah!	happiness
306	aw man! have to go, only got to listen to the block party for like 10 mins	worry
307	Goodnight world! I have t o be up at 5am	neutral
308	apple fritters are like the perfect after food...don't you think?	neutral
309	@Claire_Cordon Morning  done a bit more. I do have 2 weeks to go, but am trying to get most of it done in advance. How's you?	neutral
310	Just got home from work and tired	sadness
311	happy Star Wars day	love
312	@tommcfly tweet me, have a convo i will tell you whats happening in BGT!did you watch the final of lost? i was like noo dont end it there	worry
313	@destroytoday thanks! I'm totally bushed today though time for some coding	worry
314	bahhhh.. cold weather is making my teeth hurt.	worry
315	I hereby proclaim it to officially be summer as it is AWESOME today! But I'm stuck inside a chilly office	happiness
316	im exploring my home xD (back from vacation!) Nice to be @ home!	happiness
317	@HerMonkeyMan I don't think @JazzyHale22 will want to come back  (guys read your dms)	worry
318	about to start my least favourite chore.... mopping the floor	sadness
319	sooooo, i just dropped my phone.  don't text or tweet me, i'm currently banging my face against a spike covered poison ivy infested wall.	sadness
320	ok, back to the dentist today. All I want to do is bask in the sun	worry
321	@AndreasHale yeah !!	happiness
322	@sylserra please let me know when you've found it  I'd like to know as well, although it's handy on your mobile...	neutral
323	i got a haircut, i felt like that guy on the &quot;Last Samuri&quot; who was forced to have his ponytail cut off.	sadness
324	at work......thinking about the rest of my finals...summer almost here	neutral
325	Evermore &amp; End of Fashion rocks! My poor foot though! oww! injured my foot. not good. will be sore tomorrow.  details to follow  later	sadness
326	I need to sit  my insides hurt ughhh	sadness
327	@divarina21 i dont evn talk 2 him no more. it was a huge mistake. i shoulda listened 2 her. i kno she's disappointed in me.	sadness
328	Great, social network sites are still growing	love
329	Ugh soooo much work to do today while trying to make the 6:10 train to the game... looking like a 4-5 hour Sunday at the office.	sadness
330	My besties. If only @ddlovato was there.  on Twitpic: http://twitpic.com/67hac - My besties. If only @ddlovato .. http://twitpic.com/67hac	neutral
331	I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not	worry
332	Lil Kim ;  Download omq ; i think i like that sonqq noww lol .	worry
333	@jt nope not yet. but we have to be out of this one before we close. we are closing on both the same day this week	worry
334	Bummer... Might not make it to the sunday show, hopefully some sun will shine on this cloudy day	worry
335	although @pickupshanan (Volterra) is killing it right now here in la	happiness
336	I am sad... Tanner wasn't invited to the Panthers development camp this year  Poor (other) Glassers. But Calla was, so good on him.	worry
337	On the computer alllllllllllllllll day	sadness
338	hmm... now what to do today... i suppose i could revise for my science test :/ or i could just eat cookies and watch films	worry
339	Nursing bruises from motorbike crash on Wednesday night leaving London workplace. The ground is so much harder the older you get	worry
340	Getting ready for the theatre but I don't seem to like any of my clothes at the moment  I Might just wear what I've been wearing all day..	neutral
341	Is with our dog at the doggy park!	worry
342	@richardbishop http://twitpic.com/4jbba - ohhh someone likes to play with their food.... heehee	neutral
343	I think a crow took one of the baby birds in my garden today. I know it's nature but I still don't like It.	neutral
344	I want more followers.	neutral
345	is tired and about to go to sleep. night everyone	neutral
346	@Streyeder You rock my socks off! Sorry you have to go to BFE Maryland.	neutral
347	@Littlepiddle1 hey chicLit whats happening? Just trying to promote my business, it's really hard!	worry
348	sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!	neutral
349	back to Salvador. Wish I was in Sao Paulo to see the second concert	sadness
350	@LKnerl yes we must I had so much fun at SXSW with you guys  PJ party in my room	happiness
351	@zoopedup Have you noticed that we're at the beginning of what may be the worst recession since the 1930's ?	worry
352	Nooooo! Its going to rain on my birthday	worry
353	missing bham	love
354	@LisaMongold I know.  I have such guilt associated with picking winners.	worry
355	Ohai wilkes barre--scranton exit!  estimated arrival time: 7:22. TOO FAR AWAY.	worry
356	http://twitpic.com/4wehl - graduation pic	happiness
357	@miniatus  I wish I could !!!!!	neutral
358	Lipsynching to David C's Heroes and really feelin it. It's my fave track off DCTR. After all, D is my hero..	love
359	I love my mom! Happy Mother's Day, mommies	love
360	not letting anyone get me down  tired of taking on other people's pain all the time! I am a happy person with or without drama... om.....!	happiness
361	Oops. I'm watching my mom&amp; son sleeping and  ing	neutral
362	Gud nite all...will catch you all again tomorrow	neutral
363	@anthonyqkiernan Ha! PC and router have been off and on again many times, I assure you.  Funny thing is the laptop and phone connect fine!	worry
364	Stars and Sons was hard to review. Didn't grab me instantly this morning so will have to delay the review to a 2nd listening tomorrow	sadness
365	@elizabethlai This is my mini collection of Star Wars figurines in the office.  @allysont http://twitpic.com/4j29b - what's this?	neutral
366	whew how did i end up going from mugglespace apps to youtube??? haha its just one of those days i guess. i really hate being ill	sadness
367	@mockingbird_ I'm good thanks! Did you have a good drive? Careful with your blackberry, we don't want you getting screamed at	love
368	I wish my roommates were coming home soon  maybe i should take a nap to waste time	neutral
369	@ClaytonMorris Thank You Clayton. Going to my favorite Greek Resturant after church for mom's Day!!!!  Loved you on Huckabee	love
370	@TalindaB Hey Talinda  How Tyler slept this night? My nephew is now 4 yrs old and he stopped naps from age 3	neutral
371	Watching cartoons.....	neutral
372	oh noes, my puma hoodie is coming apart  i love this thing!	love
373	@billiemcfly she said no not to nite  x	sadness
374	Gone to the shiggity shwa. back Sunday.	worry
375	@Holly59 you certainly can, and good morning to you	love
376	@PerezHilton oh that was said perez	neutral
377	Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!	anger
378	Twenty20 cricket, beer and sunshine very good. Well apart from the beer cause i'm on tablets!	worry
379	@CelestialQ good!  now let's go get this done..... www.HennesseyBlack.com	happiness
380	just had dinner with scoop and said goodbye before our senior trips	neutral
381	@narrated it's kool...it's his job i blame	sadness
382	#SanctuarySunday awesome news about the Leo Awards for Sanctuary, looks like they got 4 out of the 10 they were nomintated for, not bad!	happiness
383	almost done with my first day at the spa...I missed this place! Then headed to Fort Collins to close down casa de kent	happiness
384	@JessicaCorban stellar! You 2 look great	happiness
385	@smdarie Ahhh I miss you!! I had DQ the other night without you...it broke my heart a bit	worry
386	@TwoOnTheBeat i wud do but im at work   srry xx	worry
387	Yao...broken foot...so much for that series  Denver's next	worry
388	@jeremydurden I really miss you right now	sadness
389	@garretjiroux tnx for the repLy on myspace...	neutral
390	@lauurajm i do i do, i feel absoulutley fine	love
391	@BellaBKNY Thanks for your support as I kept updating, it helps	happiness
392	@rowsell you really chose the wrong time of year to do this didnt you	love
393	@Franca Honored to tweet ya...	love
394	Was eating a tomato and it squirted all over me.	neutral
395	@deeeniseee eh, you're a really nice girl   How are you? miss youuuuuuu	love
396	@AngieBeyince damn no dublin	sadness
397	Forgot to set the alarm for a 6am ride  Hope I can get in a few easy miles after work.  Tomorrow: racin' the Gap!	worry
398	@AdamCrooklyn good morning broham	happiness
