	review
270	@loveyoumoreMJ unfortunately I'm not drunk enough lol and have no money to get drunk  I have had alot though as u can imagine haha
271	@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it
272	@LaneySmiles you know you lvoe me!
273	@evatweets feel better soon! Your immune system must be away on holiday somewhere... probably with mine
274	Off to the bank
275	I hadn't realised how Long it had been since I was last 'tweeting'... Now I'm on here I don't know what to say  x
276	@emaxio still @ the courthouse!     Happy to have a job... sad its this one!
277	@neestaples Thx for FF  #followfriday
278	im so tired, we have a great time today together, thanks for all
279	@DJMagic aww i'm sorry!! I was rushing around on my lunch break so I didn't even think of it!!
280	@dean_b BF @ gig in Portland OR.  That's not driving distance to come save me from Burbank. I stuck ATM.  Working on plan B
281	Now standing because my tailbone is killing me
282	At Home Depot and no one will help me load my plywood into my van for some reason.
283	happy mothers day, too all mums out there  remember treat your mum well, she brought you into this life =]
284	I am new here
285	@Janit thankyou sugaaar  btw I'll leave this town on 7, really hope could see you next time ya ra. Skrg sempit bgt sih waktunya ya
286	@stephmccall ugh I'm more worried about history on wednesday  I'm freaking out about it so much!
287	I don't know what to do about tomorrow
288	studying for my exam tomorrow @ 2 &amp; packin up!
289	@ElvisHsiao  The website I'm developing - http://woo.sh lets you also share Videos, documents, maps and events - Later music too
290	@HlywdScrnwriter I've thought about it several times . got a few good friends there!
291	Everytime i have a bruise, @marcuselzey can't stop hitting it on accident.
292	@dagadong  probably why he's still married to Joan perhaps?
293	@Sobbee Naw.. it was pretty tame. Only 1 guy in costume.. a Voyager-style &quot;medical&quot; uni. Disappointed there weren't any more in costume.
294	cant wait for thursday!
295	@lowestformofwit
296	Gotta work.  Lonely weekend ahead.
297	Has finally learned how to think before he speaks. And it works wonders
298	In the middle of breakfast the school called.Yep...back to get Shey...AGAIN.3rd migraine this week or maybe one that never went away
299	@melissagreen http://twitpic.com/4wsk3 - too cute
300	Having a (Y) weekend with Karen. Off to Swansea today
301	I should probally bring a box of kleenex to schoool today, I'm going to cry so much
302	Watching 1st Potter film with kids and eating their sweets  Grotty bank hol weather in Hoylake. Typical !
303	@x_crazyangel Gah   But Gregg should have got the hot and talented vote, dammit!
304	@Kikirowr Aw not again!  Feel better soon bb!
305	Hank Thompson ï¿½ The Big One Got Away -- hmm... how old do you have to be to remember THIS?  ? http://blip.fm/~5jboh
306	@Bparker_Seattle I totally 4 got about Golden Girls that is a gr8 Show
307	@ocell great to hear you saw Slumdog Millionaire! And yes, that's a Bollywood thing at the end
308	Yes - before you say it - I know I split a train of thought over three tweets. I think the last time was summer '08. It happens sometimes
309	So Bored. Firday Evening And Nothing To Do
310	Sad I missed @tylerhwilliams going away party due to too much work, but I really am gonna miss that kid
311	Happy mothers day! Be good to your momma's!
312	Not looking forward to the upcoming week...My better half will be gone all that time! It's TRULY GONNA SUCK BIG TIME!
313	my guinea pig died today
314	Gonna go round up some DVDs to sell...  I will miss them, but I need money!
315	Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day
316	niqhty niqht niqht .. all toqether, GREAT day  ;; @AyyoJayFresSh ily yall !!
317	omg  @nicolekennedy i found it  thnx
318	we'll be visiting my grandparents later. BTW i just heard katy perry's HOOK UP whew so cool i love it more than k.clarkson's version
319	Guys... a serious question. Which song do you like most of all your CDs? Be honest! I know you won't reply me  &lt;333 Maria
320	@awalliewall my *mom*(not aunt haha) and uncle were both adopted with very diff adoptive stories. if you want to chat sometime lmk
321	@LichfieldBlog @nickbrickett #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!
322	@peterfacinelli You didn't answer my riddle  Party pooper lol. Jokes Joyce  it was a good one tho haha. Hav a gr8 weekend!
323	Poor Kella is on meds now for an ear infection; she lost her food all over @deannamichelle twice at the doc's
324	plus it hurts seeing sum1 you love falling for someone else!  not even kidding im wellllllllllllll gutted. xx xx
325	@iamlauren its never-ending
326	Good morning world!  haha had fun at the movies last night ;D and school now... Hmm new shoes make it better  http://tinyurl.com/dfggwj
327	@Joannevance Morning there.
328	No waterfront anymore   faccia luna and clarendon will have to do
329	quick catch up on missed Neighbours ... poor Libby
330	has stuff to do but refuses to do them.  :[
331	on my way home from ny...then sleeping
332	Someone left me an anonymous card. Thank you! It was incredible
333	my n95 hacked  no signing needed.. thx OPDA
334	@kerryetches Yep they are open, it's Sunday hours tho
335	Very tired! Dinner good, then churro's were good!
336	Webcams Hoepfner Burgfest in #Karlsruhe: Automatic reload #fail http://bit.ly/Vdtvf
337	@jenhp But that is such a bummer you couldn't get your book signed. Sigh ...
338	@Mogeezie u ever jus fell like damn, i jus want to cake it n lay next to ur baby...watch movies chill freak on all night...
339	hello thereeeeeee
340	Beers &amp; whiskey = awesomness, work in 8 hours = sourness
341	Still Wants To Dress Up
342	Part of my Neuroanatomy take-home test.  After this, Iï¿½m... http://tinyurl.com/de8y47
343	Rescued two adorable pit mix pups today.  LC and Brody.  Looking to adopt?  E-mail me for more info and pics!
344	going to have bfast now
345	@FoxyOxymoron I would have, but SuperTarget didn't have any.
346	@yogadarla @Gypsy_Yogini @Rock_My_Soles @Lotuspad i am sooo jealous  in a good way of course.  LC is awesome.
347	@VeeeLEE  SUMMER farn lai ba ahhhh
348	Good Morning Sunshines!
349	feels not good at all
350	@GGEastLDN im cool  cant wait to hear these stories xoxo
351	Here's a definition of network neutrality for those who may be interested  http://tinyurl.com/ls4qn
352	last night's paper writing session=still not done. I need to prioritize better.
353	@rdmagnum guess Ill drive it back nine hours
354	Waiting for Natie to come online I miss him.
355	@LILBOOTY24 If u do, please pray 4 me.  Lord knows I need it.
356	Killing people  no not realy O.o just bored although it does sound like fun
357	@MariusLT I'm sorry about your bad driving experiences.
358	I'm dying to see the reaction on their faces  .. its going to be FUN gedan begad
359	@rj hahha I don't do drugs though
360	why yes jeeves. bring me that noose there  TOO MANY ASSIGNMENTS!
361	Looking for accessories for my #livescribe smartpen.. not many sources here in germany for it.
362	@NeilMcDaid looks class the water splash looks so real  looking forward to my review copy ;)
363	@novemberlight I sometimes fail
364	@OFFICIALDJAOK @NatBoogi @tinocochino @JTONAIR  Soooooooo What Happened To Power ForReal?
365	@ddlovato check out my twitpic telling people to buy your album!  http://www.twitpic.com/4jhn7
366	Work is MAD blocking sites! No fun  but they aren't blocking facebook, twitter &amp; youtube
367	@decadentluxe That's love.
368	I miss matt today
369	Finally making some headway in the family room!  Home is finally begining to look like it!  btw dial up can go die!
370	Ha ha ha @yoko71 I know! Love it! Love him!
371	gotta get up in a few hours...booo  gooodnight!
372	@Nololos yeah  just told Stanley its the only time I want to slap girls icky bitches encoraging bad behavior
373	@CaityKaboom so sad i have to pay $60
374	up way too early for a sunday.. watching old episodes of grey's
375	Sold bikes faster than expected, and we are running out of sizes.    Luckily the single speeds are on the ocean now! ETA -  EO June.
376	Sitting in an empty yearbook room.  attempting to figure this asap out lol
377	@hojomo im having trouble finding really yummy egg free ice-cream   #favoriteicecream - got any recommendations anyone?
378	BYEEEEE!!!
379	At my rehearsal...gonna miss the game  please keep me updated! Go Nuggets!
380	has toothache
381	back garden times. my feet hurt
382	@kiyomisu ya and i would have gained a few kgs by then.  what are you working on today?
383	AHHHHHHHH omg Pridelines got talent is giving me a headache!! wtf omg osn !!! Make it stop mommy make it stop
384	Storm system that looked to bring us rain today is going to miss us
385	learning how to use twitter
386	@richardepryor you can use my alotment
387	@yiannopoulos  But I like it
388	@juneAmbrose Keeping Doing Your thing. Your inspiration for all black women!! Sending positive energy your way!
389	I have that 'Friday' feeling, though - I am working tomorrow
390	im so tired  &amp;i miss dionee already.
391	http://bit.ly/s7hQe   Translate XMind to your language.
392	Only four full days left in Aussie-land. I don't want to go home.
393	... looks like it's gonna rain
394	bathing with two little angels, Keyla and Janice.
395	is frustrated by twitter...my picture will not load.
396	@kegrocks I did one last night  it will be available in dvd, blue ray, and digital download via the iTunes store by the end of the week
397	Not feeling comfortable with myself today
398	Had a nice chat with an old frnd... its been a while since v talked  was fun...
399	@ErikVeland Dude... That sucks! Why would they tow it from your own space?
400	Whew. Finally done editing my Friendster account. Haha! Oh, geez. I'm hungry.
401	@danameller Aww, thanks!
402	yeh. merch shopping to look fab.
403	so so tired..
404	Happy Star Wars Day!!!
405	@MikeGrace Yeah we actually went in the room they were at. I just didn't look under the counter where they were
406	@babygirlparis where are you going paris?
407	HAPPY MOTHERS DAY TO ALL THE MOMMYS EXSPECIALLY MINE  LOVE YOU MOMMY
408	Practically my whole body burns... I can't bend over or make any sudden movements with my arms
409	Im mad cuz i cant get any picture to work.
410	AP: North Korea could opt for devastating land assault... http://tinyurl.com/nmg9ht (via @Drudge_Report) Scary talk to say the least.  mm
411	&quot;family bird is the word&quot; I &lt;3 FAMILY GUY
412	just noticed that two of the top ten topics on Twitter right now is &quot;Star Trek&quot; and &quot;Spock.&quot;   That is so cool!    I am in love with both!
413	@gimboland sorry change of plans for me   :'( revision for monday exam in a park with one of my friends
414	It went really well! But the vid didnt work.  im sad
415	With my baby drinking. God I love her
416	@robyn3890 it was way worse than that ...and where were you why didnt you say hello?
417	@CirqueLasVegas 2nd ticket has to be for the same show, though, right?  No good for a solo traveler to Vegas.
418	@leekingx3 It was on my CNN subscription on Google Reader. I couldn't help but repost it
419	feels ..my cousin is a monkey  http://plurk.com/p/x23pa
420	Note to self: don't wear steel toes to the court house, I'm just sayin
421	I get an instant sad face when I see a little kid lose their balloon
422	@grentone If you have specific questions, let me know. Always good to have them when writing stuff. Well, I am off  Have fun!
423	Is going to have one upset daughter  in a bit..mr. Rat took a sudden turn for the worse and didn't make it
424	seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really
425	@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
426	watching @jtimberlake on SNL
427	@dizzyupthegirl thankyooooou
428	instant-messaging with two of my favourite conversation guys
